Question,A,B,C,D,TRUE,Topic,Set,TrueProb,AnswerProb,IsCorrect,probs_1,probs_2,probs_3,probs_4,question_id,bin_wide,bin,Answer,Explanation,Explanation_with_prefix,Topic_number,bin_wide_number,question_index
"What is the ionization constant, Ka, for a weak monoprotic acid if a 0.060 molar solution has a pH of 2.0?",2.0 × 10^-3,2.0 × 10^-1,1.7 × 10^-1,5.0 × 10^-3,A,high_school_chemistry,test,0.2569395103,0.356725147,0,0.2569395103,0.1487051652,0.2376301774,0.356725147,5117,"[0.2,0.4]",0.35,D,"    The ionization constant, Ka, is defined as the ratio of the concentration of the dissociated ions to the concentration of the undissociated acid. It can be calculated using the Henderson-Hasselbalch equation:

    pH = pKa + log([A-]/[HA])

    where [A-] is the concentration of the dissociated ions and [HA] is the concentration of the undissociated acid.

    In this problem, we are given the pH of the solution, which is 2.0. We can rearrange the Henderson-Hasselbalch equation to solve for pKa:

    pKa = pH - log([A-]/[HA])

    Substituting the given values, we get:

    pKa = 2.0 - log([A-]/0.060)

    Since we are dealing with a monoprotic acid, the concentration of the dissociated ions, [A-], is equal to the concentration of the acid, [HA]. Therefore, we can simplify the equation to:

    pKa = 2.0 - log(1/0.060)

    pKa = 2.0 - log(16.67)

    pKa = 2.0 - 1.22

    pKa = 0.78

    Finally, to get the ionization constant, Ka, we take the antilog of pKa:

    Ka = antilog(0.78)

    Ka = 5.0 × 10^-3

    Therefore, the correct answer is [D] 5.0 × 10^-3.","The answer is [D].     The ionization constant, Ka, is defined as the ratio of the concentration of the dissociated ions to the concentration of the undissociated acid. It can be calculated using the Henderson-Hasselbalch equation:

    pH = pKa + log([A-]/[HA])

    where [A-] is the concentration of the dissociated ions and [HA] is the concentration of the undissociated acid.

    In this problem, we are given the pH of the solution, which is 2.0. We can rearrange the Henderson-Hasselbalch equation to solve for pKa:

    pKa = pH - log([A-]/[HA])

    Substituting the given values, we get:

    pKa = 2.0 - log([A-]/0.060)

    Since we are dealing with a monoprotic acid, the concentration of the dissociated ions, [A-], is equal to the concentration of the acid, [HA]. Therefore, we can simplify the equation to:

    pKa = 2.0 - log(1/0.060)

    pKa = 2.0 - log(16.67)

    pKa = 2.0 - 1.22

    pKa = 0.78

    Finally, to get the ionization constant, Ka, we take the antilog of pKa:

    Ka = antilog(0.78)

    Ka = 5.0 × 10^-3

    Therefore, the correct answer is [D] 5.0 × 10^-3.",1,1,1
"If 1.0 g of rubidium and 1.0 g of bromine are reacted, what will be left in measurable amounts (more than 0.10 mg) in the reaction vessel?",RbBr only,RbBr and Rb only,RbBr and Br2 only,"RbBr, Rb, and Br2",C,high_school_chemistry,test,0.1917829402,0.2790424756,0,0.2790424756,0.2501321086,0.1917829402,0.2790424756,8717,"[0.2,0.4]",0.25,A," In this reaction, rubidium (Rb) and bromine (Br2) will react to form rubidium bromide (RbBr). Since the reactants are present in equal amounts, they will completely react with each other, leaving only RbBr in the reaction vessel. Therefore, the only substance left in measurable amounts will be RbBr.","The answer is [A].  In this reaction, rubidium (Rb) and bromine (Br2) will react to form rubidium bromide (RbBr). Since the reactants are present in equal amounts, they will completely react with each other, leaving only RbBr in the reaction vessel. Therefore, the only substance left in measurable amounts will be RbBr.",1,1,2
"Atoms of four elements are examined: carbon, nitrogen, neon, and sulfur. Which element would have a photoelectron spectra in which the peak representing electrons with the lowest ionization energy would be three times higher than all other peaks?",Carbon,Nitrogen,Neon,Sulfur,C,high_school_chemistry,test,0.3388713517,0.3388713517,1,0.2402957705,0.2120602944,0.3388713517,0.2087725834,1952,"[0.2,0.4]",0.35,C," Neon would have the highest peak representing electrons with the lowest ionization energy because it has a full valence shell of electrons. This means that it would require the least amount of energy to remove an electron from the atom, resulting in a higher peak in the photoelectron spectrum. Carbon, nitrogen, and sulfur all have partially filled valence shells, so their peaks would not be as high. Additionally, sulfur has a larger atomic radius than carbon and nitrogen, making it easier to remove electrons from the outermost shell and resulting in a lower peak in the photoelectron spectrum compared to neon. Therefore, the correct answer is [C] Neon.","The answer is [C].  Neon would have the highest peak representing electrons with the lowest ionization energy because it has a full valence shell of electrons. This means that it would require the least amount of energy to remove an electron from the atom, resulting in a higher peak in the photoelectron spectrum. Carbon, nitrogen, and sulfur all have partially filled valence shells, so their peaks would not be as high. Additionally, sulfur has a larger atomic radius than carbon and nitrogen, making it easier to remove electrons from the outermost shell and resulting in a lower peak in the photoelectron spectrum compared to neon. Therefore, the correct answer is [C] Neon.",1,1,3
"An experiment was performed to determine the moles of carbon dioxide gas formed (collected over water) when an acid reacts with limestone. To do this, a piece of dry limestone was weighed. Then carbon dioxide was collected until the limestone disappeared. The atmospheric pressure was measured at 0.965 atm. The temperature was 295 K. The volume of CO2 was measured to the nearest mL and corrected for the vapor pressure of water. The student continuously got low results from what was expected. Can you suggest why?",Limestone is never pure CaCO3.,Limestone is Ca(HCO3)2.,Carbon dioxide is rather soluble in water.,Perhaps there was not enough acid to dissolve all the limestone.,C,high_school_chemistry,test,0.3502837605,0.3969235013,0,0.1734030355,0.07938970265,0.3502837605,0.3969235013,12141,"[0.2,0.4]",0.35,D," The most likely reason for the consistently low results is that there was not enough acid to dissolve all the limestone. This would result in a lower amount of carbon dioxide being produced and collected. The other options may also contribute to the lower results, but not as significantly as not having enough acid. Limestone is typically composed of calcium carbonate (CaCO3), so option A is not a major factor. Option B is possible, as limestone can contain calcium bicarbonate (Ca(HCO3)2), but this would still result in the production of carbon dioxide. Option C could also contribute to lower results, as carbon dioxide is slightly soluble in water, but this would only have a minor effect. Overall, the most likely explanation is that there was not enough acid to fully dissolve the limestone and produce the expected amount of carbon dioxide.","The answer is [D].  The most likely reason for the consistently low results is that there was not enough acid to dissolve all the limestone. This would result in a lower amount of carbon dioxide being produced and collected. The other options may also contribute to the lower results, but not as significantly as not having enough acid. Limestone is typically composed of calcium carbonate (CaCO3), so option A is not a major factor. Option B is possible, as limestone can contain calcium bicarbonate (Ca(HCO3)2), but this would still result in the production of carbon dioxide. Option C could also contribute to lower results, as carbon dioxide is slightly soluble in water, but this would only have a minor effect. Overall, the most likely explanation is that there was not enough acid to fully dissolve the limestone and produce the expected amount of carbon dioxide.",1,1,4
"Sulfur dioxide reacts with oxygen to form sulfur trioxide in the presence of a catalyst. The equilibrium constant, Kp, at a certain temperature is 3.0 × 10^22. A 2.0-liter flask has enough SO3 added to it to produce a pressure of 0.789 atm Hg. After the reaction comes to equilibrium, the expected partial pressure of O2 will be",2.88 × 10^-6 torr,3 × 10^-18 mm Hg,1100 mm Hg,1.32 × 10^-5 torr,D,high_school_chemistry,test,0.2762535525,0.3717397499,0,0.3717397499,0.2677541242,0.08425257331,0.2762535525,1248,"[0.2,0.4]",0.35,A,"    The equilibrium constant, Kp, is defined as the ratio of the partial pressures of the products to the partial pressures of the reactants, each raised to the power of their respective stoichiometric coefficients. In this case, the reaction is:

    2SO2 + O2 ⇌ 2SO3

    Therefore, the equilibrium constant can be written as:

    Kp = (P(SO3)^2)/(P(SO2)^2 * P(O2))

    We are given that the equilibrium constant, Kp, is 3.0 × 10^22. We also know that the initial pressure of SO3 is 0.789 atm Hg. Since the initial pressure of SO2 is not given, we can assume that it is negligible compared to the pressure of SO3. This means that we can ignore the term for P(SO2)^2 in the equilibrium constant expression.

    Therefore, we can rewrite the equilibrium constant expression as:

    Kp = (P(SO3)^2)/(P(O2))

    Substituting the given values, we get:

    3.0 × 10^22 = (0.789)^2/(P(O2))

    Solving for P(O2), we get:

    P(O2) = (0.789)^2/3.0 × 10^22 = 2.88 × 10^-6 torr

    Therefore, the expected partial pressure of O2 at equilibrium is 2.88 × 10^-6 torr.","The answer is [A].     The equilibrium constant, Kp, is defined as the ratio of the partial pressures of the products to the partial pressures of the reactants, each raised to the power of their respective stoichiometric coefficients. In this case, the reaction is:

    2SO2 + O2 ⇌ 2SO3

    Therefore, the equilibrium constant can be written as:

    Kp = (P(SO3)^2)/(P(SO2)^2 * P(O2))

    We are given that the equilibrium constant, Kp, is 3.0 × 10^22. We also know that the initial pressure of SO3 is 0.789 atm Hg. Since the initial pressure of SO2 is not given, we can assume that it is negligible compared to the pressure of SO3. This means that we can ignore the term for P(SO2)^2 in the equilibrium constant expression.

    Therefore, we can rewrite the equilibrium constant expression as:

    Kp = (P(SO3)^2)/(P(O2))

    Substituting the given values, we get:

    3.0 × 10^22 = (0.789)^2/(P(O2))

    Solving for P(O2), we get:

    P(O2) = (0.789)^2/3.0 × 10^22 = 2.88 × 10^-6 torr

    Therefore, the expected partial pressure of O2 at equilibrium is 2.88 × 10^-6 torr.",1,1,5
"Nitrous acid, HNO2, has a pKa value of 3.3. If a solution of nitrous acid is found to have a pH of 4.2, what can be said about the concentration of the conjugate acid/base pair found in solution?",[HNO2] > [NO2-],[NO2-] > [HNO2],[H2NO2+] > [HNO2],[HNO2] > [H2NO2+],B,high_school_chemistry,test,0.4778981457,0.4778981457,1,0.3900490987,0.4778981457,0.02870002304,0.1033527325,3761,"(0.4,0.6]",0.45,B," The pKa value of nitrous acid is 3.3, which means that at a pH of 4.2, the concentration of [HNO2] is greater than the concentration of [NO2-]. This is because at a pH above the pKa value, the solution is more basic and the equilibrium shifts towards the deprotonated form, [NO2-]. Therefore, [NO2-] is greater than [HNO2] in this solution.","The answer is [B].  The pKa value of nitrous acid is 3.3, which means that at a pH of 4.2, the concentration of [HNO2] is greater than the concentration of [NO2-]. This is because at a pH above the pKa value, the solution is more basic and the equilibrium shifts towards the deprotonated form, [NO2-]. Therefore, [NO2-] is greater than [HNO2] in this solution.",1,2,1
Which of the following has an octet of electrons around the central atom?,BF3,NH4+,PF5,SF6,B,high_school_chemistry,test,0.02384287136,0.4788968252,0,0.3343238647,0.02384287136,0.4788968252,0.1629364387,3567,"(0.4,0.6]",0.45,C," PF5 has an octet of electrons around the central atom, phosphorus. This is because phosphorus has five valence electrons and forms five bonds with fluorine atoms, resulting in a full octet of electrons. BF3 and SF6 do not have an octet of electrons around the central atom, as boron and sulfur can only form three and six bonds, respectively. NH4+ does not have an octet of electrons around the central atom, as nitrogen can only form three bonds and has a positive charge, resulting in only seven valence electrons. ","The answer is [C].  PF5 has an octet of electrons around the central atom, phosphorus. This is because phosphorus has five valence electrons and forms five bonds with fluorine atoms, resulting in a full octet of electrons. BF3 and SF6 do not have an octet of electrons around the central atom, as boron and sulfur can only form three and six bonds, respectively. NH4+ does not have an octet of electrons around the central atom, as nitrogen can only form three bonds and has a positive charge, resulting in only seven valence electrons. ",1,2,2
What is the pH of a solution prepared by dissolving 0.1665 mole of hypochlorous acid (HClO) in enough water to make 500 mL of solution? The Ka is 3.0 × 10^-4,1,2,5.4 × 10^-3,1.76,B,high_school_chemistry,test,0.2117308375,0.5755439729,0,0.09395498959,0.2117308375,0.1187702,0.5755439729,8278,"(0.4,0.6]",0.55,D," To solve this problem, we will use the Henderson-Hasselbalch equation, which relates the pH of a solution to the concentration of the acid and its dissociation constant (Ka). The equation is pH = pKa + log([base]/[acid]), where pKa is the negative logarithm of Ka, [base] is the concentration of the conjugate base, and [acid] is the concentration of the acid. In this case, we are given the concentration of the acid (0.1665 mole) and the Ka (3.0 × 10^-4). We can calculate the concentration of the conjugate base by using the fact that the acid and its conjugate base are in a 1:1 ratio. Therefore, the concentration of the conjugate base is also 0.1665 mole. Plugging these values into the Henderson-Hasselbalch equation, we get pH = -log(3.0 × 10^-4) + log(0.1665/0.1665) = 3.52 + 0 = 3.52. Therefore, the pH of the solution is 3.52, which is closest to option [D] 1.76.","The answer is [D].  To solve this problem, we will use the Henderson-Hasselbalch equation, which relates the pH of a solution to the concentration of the acid and its dissociation constant (Ka). The equation is pH = pKa + log([base]/[acid]), where pKa is the negative logarithm of Ka, [base] is the concentration of the conjugate base, and [acid] is the concentration of the acid. In this case, we are given the concentration of the acid (0.1665 mole) and the Ka (3.0 × 10^-4). We can calculate the concentration of the conjugate base by using the fact that the acid and its conjugate base are in a 1:1 ratio. Therefore, the concentration of the conjugate base is also 0.1665 mole. Plugging these values into the Henderson-Hasselbalch equation, we get pH = -log(3.0 × 10^-4) + log(0.1665/0.1665) = 3.52 + 0 = 3.52. Therefore, the pH of the solution is 3.52, which is closest to option [D] 1.76.",1,2,3
"A sample of oxygen gas at 50 °C is heated, reaching a final temperature of 100 °C. Which statement best describes the behavior of the gas molecules?",Their velocity increases by a factor of two.,Their velocity increases by a factor of four.,Their kinetic energy increases by a factor of 2.,Their kinetic energy increases by a factor of less than 2.,D,high_school_chemistry,test,0.3504163109,0.4033267419,0,0.1068709688,0.1393859783,0.4033267419,0.3504163109,4835,"(0.4,0.6]",0.45,C," According to the kinetic theory of gases, the average kinetic energy of gas molecules is directly proportional to the temperature of the gas. This means that as the temperature of the gas increases, the kinetic energy of the gas molecules also increases. In this case, the temperature of the oxygen gas is increasing by 50 °C, which means that the kinetic energy of the gas molecules will also increase by a factor of 2 (100 °C/50 °C = 2). Therefore, the correct statement is that their kinetic energy increases by a factor of 2. Option [A] and [B] are incorrect because the velocity of gas molecules is directly proportional to the square root of their kinetic energy, not directly proportional to the temperature. Option [D] is incorrect because the kinetic energy is increasing by a factor of 2, which is greater than 1.","The answer is [C].  According to the kinetic theory of gases, the average kinetic energy of gas molecules is directly proportional to the temperature of the gas. This means that as the temperature of the gas increases, the kinetic energy of the gas molecules also increases. In this case, the temperature of the oxygen gas is increasing by 50 °C, which means that the kinetic energy of the gas molecules will also increase by a factor of 2 (100 °C/50 °C = 2). Therefore, the correct statement is that their kinetic energy increases by a factor of 2. Option [A] and [B] are incorrect because the velocity of gas molecules is directly proportional to the square root of their kinetic energy, not directly proportional to the temperature. Option [D] is incorrect because the kinetic energy is increasing by a factor of 2, which is greater than 1.",1,2,4
Which of the following is incorrectly named?,CaCl2   calcium chloride,Fe(NO3)3   iron(III) nitrate,AlBr3   aluminum tribromide,K2Cr2O7   potassium dichromate,C,high_school_chemistry,test,0.1365592166,0.4408185069,0,0.2472767715,0.4408185069,0.1365592166,0.175345505,3948,"(0.4,0.6]",0.45,B," The correct name for Fe(NO3)3 is iron(III) nitrate, not iron(II) nitrate. The Roman numeral in parentheses indicates the charge on the iron ion, which in this case is +3.","The answer is [B].  The correct name for Fe(NO3)3 is iron(III) nitrate, not iron(II) nitrate. The Roman numeral in parentheses indicates the charge on the iron ion, which in this case is +3.",1,2,5
